Private School Name,State Name [Private School] Latest available year,Phone Number [Private School] 2009-10,Mailing Address [Private School] 2009-10,City [Private School] 2009-10,State Abbr [Private School] Latest available year,ZIP [Private School] 2009-10
ABERDEEN CHRISTIAN SCHOOL ELEMENTARY CAMPUS,SOUTH DAKOTA,6052252053,1500 E MELGAARD RD,ABERDEEN,SD ,57401
ABI CHRISTIAN ACADEMY,MINNESOTA,6517397686,6944 HUDSON BLVD,OAKDALE,MN ,55128
ABIDING FAITH CHRISTIAN SCHOOL,ARKANSAS,8703643844,1552 HIGHWAY 52 W,CROSSETT,AR ,71635
ABIDING HOPE PRESCHOOL,COLORADO,3039329160,6337 S ROBB WAY,LITTLETON,CO ,80127
ABIDING SAVIOR LUTHERAN SCHOOL,MISSOURI,3148924408,4353 BUTLER HILL RD,SAINT LOUIS,MO ,63128
ABIDING SAVIOR LUTHERAN SCHOOL,CALIFORNIA,9498301461,23262 EL TORO RD,LAKE FOREST,CA ,92630
ABIDING SAVIOR SCHOOL,ARIZONA,4809499064,515 E CONTINENTAL DR,TEMPE,AZ ,85281
ABIDING WORD LUTHERAN SCHOOL,TEXAS,2818957048,17123 RED OAK DR,HOUSTON,TX ,77090
ABILENE BAPTIST ACADEMY,KANSAS,7852631032,409 N VAN BUREN ST,ABILENE,KS ,67410
ABILENE CHRISTIAN SCHOOLS,TEXAS,3256729200,2550 N JUDGE ELY BLVD,ABILENE,TX ,79601
ABILITIES FIRST,NEW YORK,8455460774,230 NORTH RD,POUGHKEEPSIE,NY ,12601
ABILITY SCHOOL,NEW JERSEY,2018718808,75 KNICKERBOCKER RD,ENGLEWOOD,NJ ,07631
ABINGDON MONTESSORI SCHOOL,MARYLAND,8018208646,5144 MASSACHUSETTS AVE,BETHESDA,MD ,20816
ABINGTON CHRISTIAN ACADEMY,PENNSYLVANIA,5705865270,204 S ABINGTON RD,CLARKS GREEN,PA ,18411
ABINGTON FRIENDS SCHOOL,PENNSYLVANIA,2158864350,575 WASHINGTON LN,JENKINTOWN,PA ,19046
ABINTRA MONTESSORI SCHOOL,TENNESSEE,6153524317,914 DAVIDSON DR,NASHVILLE,TN ,37205
ABIQUA SCHOOL,OREGON,5033999020,4985 BATTLE CREEK RD SE STE 107,SALEM,OR ,97302
ABLE ACADEMY,FLORIDA,2393527600,3227 HORSESHOE DR S # 111,NAPLES,FL ,34104
ABNEY CHAPEL CHRISTIAN SCHOOL,NORTH CAROLINA,9104887525,2996 ROSEHILL RD,FAYETTEVILLE,NC ,28301
ABOITE CHRISTIAN SCHOOL,INDIANA,2606728544,14615 WINTERS RD,ROANOKE,IN ,46783
ABRAHAM JOSHUA HESCHEL HIGH SCHOOL,NEW YORK,2122467717,20 W END AVE,NEW YORK,NY ,10023
ABRAMS HEBREW ACADEMY,PENNSYLVANIA,2154931800,31 W COLLEGE AVE,YARDLEY,PA ,19067
ABRAXAS LEADERSHIP DEVELOPMENT PROGRAM,PENNSYLVANIA,7177497440,10058 S MOUNTAIN RD BLDG 6,SOUTH MOUNTAIN,PA ,17261
ABRAXAS LEARNING CENTER,PENNSYLVANIA,8144567225,915 STATE ST,ERIE,PA ,16501
ABRAXAS PITTSBURGH SCHOOL,PENNSYLVANIA,4129540018,437 TURRETT ST,PITTSBURGH,PA ,15206
ABRAXAS YOUTH CENTER,PENNSYLVANIA,7177493066,PO BOX 334,SOUTH MOUNTAIN,PA ,17261
ABSORBENT MINDS MONTESSORI SCHOOL,OHIO,3304143068,130 BROAD BLVD,CUYAHOGA FALLS,OH ,44221
ABUNDANT LIFE ACADEMY,OREGON,5413364320,1154 NW A ST,TOLEDO,OR ,97391
ABUNDANT LIFE ACADEMY,UTAH,4352151555,220 W 300 N,KANAB,UT ,84741
ABUNDANT LIFE ACADEMY,SOUTH CAROLINA,8437843171,PO BOX 310,HARDEEVILLE,SC ,29927
ABUNDANT LIFE ACADEMY,WISCONSIN,7154584077,1851 13 1/2 14TH AVE,CAMERON,WI ,54822
ABUNDANT LIFE ACADEMY,NEW JERSEY,9736679700,390 WASHINGTON AVE,NUTLEY,NJ ,07110
ABUNDANT LIFE ACADEMY,NEW YORK,3157019244,7000 ALL NATIONS BLVD,EAST SYRACUSE,NY ,13057
ABUNDANT LIFE CHRISTIAN ACADEMY,FLORIDA,9549792665,1494 BANKS RD,MARGATE,FL ,33063
ABUNDANT LIFE CHRISTIAN ACADEMY,WISCONSIN,2629655177,995 S SAWYER RD,OCONOMOWOC,WI ,53066
ABUNDANT LIFE CHRISTIAN ACADEMY,TENNESSEE,7316584979,15774 HIGHWAY 64,BOLIVAR,TN ,38008
ABUNDANT LIFE CHRISTIAN ACADEMY,FLORIDA,7278316325,PO BOX 1696,LARGO,FL ,33779
ABUNDANT LIFE CHRISTIAN ACADEMY,WISCONSIN,7156695657,107 E HILL ST,THORP,WI ,54771
ABUNDANT LIFE CHRISTIAN LEARNING TREE HOUSE,KENTUCKY,5028399179,1439 BYPASS N,LAWRENCEBURG,KY ,40342
ABUNDANT LIFE CHRISTIAN SCHOOL,NEW JERSEY,9734639455,43 S JEFFERSON RD,WHIPPANY,NJ ,07981
ABUNDANT LIFE CHRISTIAN SCHOOL,SOUTH CAROLINA,8642461055,630 FARRS BRIDGE RD,GREENVILLE,SC ,29611
ABUNDANT LIFE CHRISTIAN SCHOOL,WEST VIRGINIA,3045474370,976 CHAPEL HILL RD,TRIADELPHIA,WV ,26059
ABUNDANT LIFE CHRISTIAN SCHOOL,MASSACHUSETTS,9786578710,173 CHURCH ST,WILMINGTON,MA ,01887
ABUNDANT LIFE CHRISTIAN SCHOOL,WISCONSIN,6082211520,4901 E BUCKEYE RD,MADISON,WI ,53716
ABUNDANT LIFE CHRISTIAN SCHOOL,NEW MEXICO,5058777772,2851 ARENAL RD SW,ALBUQUERQUE,NM ,87121
ABUNDANT LIFE OUTREACH MINISTRIES,SOUTH CAROLINA,8037967303,1619 MIDDLETON ST,CAYCE,SC ,29033
ABUNDANT LIFE SCHOOL,HAWAII,8086215433,650 KILANI AVE,WAHIAWA,HI ,96786
ACACIA ACADEMY,ILLINOIS,7085799040,6425 WILLOW SPRINGS RD,LA GRANGE HIGHLANDS,IL ,60525
ACACIA MONTESSORI CENTER,CALIFORNIA,6269669356,450 W ROWLAND ST,COVINA,CA ,91723
ACACIAWOOD SCHOOL,CALIFORNIA,7149951800,2530 W LA PALMA AVE,ANAHEIM,CA ,92801
ACADEME OF THE OAKS,GEORGIA,4044052173,146 NEW ST,DECATUR,GA ,30030
ACADEMIA DE LA RECTA PORTA ICDS,DISTRICT OF COLUMBIA,2027268737,7614 GEORGIA AVE NW,WASHINGTON,DC ,20012
ACADEMIC ACHIEVEMENT CENTER,FLORIDA,8136544198,313 PRUETT RD,SEFFNER,FL ,33584
ACADEMIC BEHAVIORAL ALTERNATIVES,ARIZONA,4802393213,1835 E GUADALUPE RD STE 103,TEMPE,AZ ,85283
ACADEMIC BEHAVIORAL ALTERNATIVES -CHANDLER CAMPUS,ARIZONA,4808127169,290 S COOPER RD,CHANDLER,AZ ,85225
ACADEMIC HIGH SCHOOL,FLORIDA,5619290333,23114 SANDALFOOT PLAZA DR,BOCA RATON,FL ,33428
ACADEMIC ILLUMINATION DAY SCHOOL,NORTH CAROLINA,7047792164,21325 CATAWBA AVE,CORNELIUS,NC ,28031
ACADEMICS PLUS,GEORGIA,7063643169,717 INDUSTRIAL PARK RD,EVANS,GA ,30809
ACADEMIE CHRETIENNE HAITIENNE D'ORLANDO,FLORIDA,4075401800,2514 W COLONIAL DR,ORLANDO,FL ,32804
ACADEMIE DE MONTESSORI,FLORIDA,9043983830,1216 LASALLE ST,JACKSONVILLE,FL ,32207
ACADEMIR,FLORIDA,3052259141,13911 SW 42ND ST # 108,MIAMI,FL ,33175
ACADEMIR PRESCHOOL LEARNING CENTER,FLORIDA,3052202205,11980 SW 8TH ST,MIAMI,FL ,33184
ACADEMY AT FOXBOROUGH,MASSACHUSETTS,5085436500,115 MECHANIC ST,FOXBOROUGH,MA ,02035
ACADEMY AT ST ROSE PHILIPPINE DUCHESNE,MISSOURI,3148370369,1220 PADDOCK DR,FLORISSANT,MO ,63033
ACADEMY AT SWIFT RIVER,MASSACHUSETTS,4136340307,151 SOUTH ST,CUMMINGTON,MA ,01026
ACADEMY AT THE LAKES,FLORIDA,8139487600,2220 COLLIER PKWY,LAND O LAKES,FL ,34639
ACADEMY CHILD DEVELOPMENT CENTER,MARYLAND,3014249475,10107 DARNESTOWN RD,ROCKVILLE,MD ,20850
ACADEMY FOR ACADEMIC EXCELLENCE,TENNESSEE,9316479831,PO BOX 3906,CLARKSVILLE,TN ,37043
ACADEMY FOR AUTISM,FLORIDA,4078522958,5232 S ORANGE AVE B,ORLANDO,FL ,32809
ACADEMY FOR CHILDREN CHILDCARE,NORTH DAKOTA,7012800718,20 8TH ST S,FARGO,ND ,58103
ACADEMY FOR EARLY LEARNING,OHIO,7407725437,PO BOX 712,CHILLICOTHE,OH ,45601
ACADEMY FOR INDIVIDUAL EXCELLENCE,KENTUCKY,5022676187,3101 BLUEBIRD LN,LOUISVILLE,KY ,40299
ACADEMY FOR KEENER MINDS,TENNESSEE,9312491600,420 MADISON ST D,CLARKSVILLE,TN ,37040
ACADEMY FOR KIDS INC,OREGON,5035588773,13698 SE 147TH AVE,CLACKAMAS,OR ,97015
ACADEMY FOR LEARNING,NEVADA,7027378668,1018 E SAHARA AVE STE D,LAS VEGAS,NV ,89104
ACADEMY FOR LITTLE CHILDREN,RHODE ISLAND,4018235000,10 JAMES P MURPHY IND HWY,WEST WARWICK,RI ,02893
ACADEMY FOR YOUNG CHILDREN TLC,OHIO,3306552797,187 RAVENNA ST,HUDSON,OH ,44236
ACADEMY HILL SCHOOL,MASSACHUSETTS,4137880300,1190 LIBERTY ST,SPRINGFIELD,MA ,01104
ACADEMY IN MANAYUNK,PENNSYLVANIA,2154832461,169 CONARROE ST,PHILADELPHIA,PA ,19127
ACADEMY MONTESSORI INTERNATIONALE,MISSOURI,8169423307,12501 STATE LINE RD,KANSAS CITY,MO ,64145
ACADEMY MONTESSORI PRESCHOOL,NEW MEXICO,5052992527,11216 PHOENIX AVE NE,ALBUQUERQUE,NM ,87112
ACADEMY OF ACADEMIC EXCELLENCE,VIRGINIA,8047406500,PO BOX 4232,GLEN ALLEN,VA ,23058
ACADEMY OF AMHERST JR-SR HIGH SCHOOL,CALIFORNIA,8185037869,CREWE ST,VAN NUYS,CA ,91405
ACADEMY OF BASIC LEARNING,CALIFORNIA,3237771769,10457 S FIGUEROA ST,LOS ANGELES,CA ,90003
ACADEMY OF CHRISTIAN EDUCATION,VIRGINIA,7034715790,1808A MICHAEL FARADAY CT,RESTON,VA ,20190
ACADEMY OF COASTAL CAROLINA,NORTH CAROLINA,9107549637,PO BOX 1988,SHALLOTTE,NC ,28459
ACADEMY OF EARLY LEARNING,VIRGINIA,7573407228,3560 CHESTER ST,VIRGINIA BEACH,VA ,23452
ACADEMY OF EARLY LEARNING,MASSACHUSETTS,5087908104,465 FALMOUTH RD,HYANNIS,MA ,02601
ACADEMY OF EXCELLENCE,NORTH CAROLINA,9103433321,3110 RANDALL PKWY 1,WILMINGTON,NC ,28403
ACADEMY OF EXCELLENCE,NORTH CAROLINA,7045004220,612 S RACE ST,STATESVILLE,NC ,28677
ACADEMY OF HIGHER LEARNING MLS,ALASKA,9072607741,32930 FAIR GAME AVE D,STERLING,AK ,99672
ACADEMY OF HOLY ANGELS,MINNESOTA,6127982600,6600 NICOLLET AVE,RICHFIELD,MN ,55423
ACADEMY OF HOPE,NORTH CAROLINA,9195508181,408 COVERED BRIDGE RD,CLAYTON,NC ,27520
ACADEMY OF LEARNING,FLORIDA,4073287265,445 S ORANGE BLVD,SANFORD,FL ,32771
ACADEMY OF MT ST URSULA,NEW YORK,7183645353,330 BEDFORD PARK BLVD,BRONX,NY ,10458
ACADEMY OF NOTRE DAME,MASSACHUSETTS,9786497611,180 MIDDLESEX RD,TYNGSBORO,MA ,01879
ACADEMY OF OUR LADY,ILLINOIS,8476234110,510 GRAND AVE,WAUKEGAN,IL ,60085
ACADEMY OF OUR LADY,LOUISIANA,5043416217,537 AVENUE D,MARRERO,LA ,70072
ACADEMY OF OUR LADY AT ST CATHARINE,NEW JERSEY,2014450622,180 RODNEY ST,GLEN ROCK,NJ ,07452
ACADEMY OF OUR LADY OF GOOD COUNSEL HIGH SCHOOL,NEW YORK,9149490178,52 N BROADWAY,WHITE PLAINS,NY ,10603
ACADEMY OF OUR LADY OF GOOD COUNSEL-ELEMENTARY,NEW YORK,9147614423,52 N BROADWAY,WHITE PLAINS,NY ,10603
ACADEMY OF OUR LADY OF MERCY - LAURALTON HALL,CONNECTICUT,2038772786,200 HIGH ST,MILFORD,CT ,06460
ACADEMY OF OUR LADY OF PEACE,CALIFORNIA,6192972266,4860 OREGON ST,SAN DIEGO,CA ,92116
ACADEMY OF OUR SAVIOUR,FLORIDA,8138852263,8401 W HILLSBOROUGH AVE,TAMPA,FL ,33615
ACADEMY OF ST ADALBERT,OHIO,4402345529,56 ADELBERT ST,BEREA,OH ,44017
ACADEMY OF ST BARTHOLOMEW,OHIO,4408456660,14875 BAGLEY RD,MIDDLEBURG HEIGHTS,OH ,44130
ACADEMY OF ST BENEDICT THE AFRICAN,ILLINOIS,7737763316,6020 S LAFLIN ST,CHICAGO,IL ,60636
ACADEMY OF ST BENEDICT THE AFRICAN-STEWART CAMPUS,ILLINOIS,7739946100,6547 S STEWART AVE,CHICAGO,IL ,60621
ACADEMY OF ST DOROTHY,NEW YORK,7183510939,1305 HYLAN BLVD,STATEN ISLAND,NY ,10305
ACADEMY OF ST FRANCIS OF ASSISI,NEW JERSEY,9735688824,400 TOTOWA RD,TOTOWA,NJ ,07512
ACADEMY OF ST JOSEPH,NEW YORK,2122435420,111 WASHINGTON PL,NEW YORK,NY ,10014
ACADEMY OF ST PRISCILLA AT DIVINE SAVIOR,ILLINOIS,7084520323,7750 MONTROSE AVE,NORRIDGE,IL ,60706
ACADEMY OF ST THERESE OF LISIUEX,NEW JERSEY,2015684296,220 JEFFERSON AVE,CRESSKILL,NJ ,07626
ACADEMY OF STS PETER & PAUL,MINNESOTA,7634790540,150 RAILWAY ST E,LORETTO,MN ,55357
ACADEMY OF THE HOLY ANGELS,NEW JERSEY,2017687822,315 HILLSIDE AVE,DEMAREST,NJ ,07627
ACADEMY OF THE HOLY CROSS,MARYLAND,3019422100,4920 STRATHMORE AVE,KENSINGTON,MD ,20895
ACADEMY OF THE HOLY FAMILY,CONNECTICUT,8608229272,54 W MAIN ST BOX 691,BALTIC,CT ,06330
ACADEMY OF THE HOLY NAMES,FLORIDA,8138395371,3319 BAYSHORE BLVD,TAMPA,FL ,33629
ACADEMY OF THE HOLY NAMES LOWER & MIDDLE SCHOOL,NEW YORK,5184387895,1073 NEW SCOTLAND RD,ALBANY,NY ,12208
ACADEMY OF THE MOST BLESSED SACRAMENT,NEW JERSEY,2018914250,785 FRANKLIN LAKES RD,FRANKLIN LAKES,NJ ,07417
ACADEMY OF THE NEW CHURCH BOYS SCHOOL,PENNSYLVANIA,2675022568,PO BOX 707,BRYN ATHYN,PA ,19009
ACADEMY OF THE NEW CHURCH GIRLS SCHOOL,PENNSYLVANIA,2675022568,PO BOX 707,BRYN ATHYN,PA ,19009
ACADEMY OF THE PACIFIC,HAWAII,8085956359,913 ALEWA DR,HONOLULU,HI ,96817
ACADEMY OF THE SACRED HEART,MISSOURI,6369466127,619 N 2ND ST,SAINT CHARLES,MO ,63301
ACADEMY OF THE SACRED HEART,MICHIGAN,2486468900,1250 KENSINGTON RD,BLOOMFIELD HILLS,MI ,48304
ACADEMY OF THE SACRED HEART,LOUISIANA,5048911943,4521 SAINT CHARLES AVE,NEW ORLEANS,LA ,70115
ACADEMY PREP CENTER OF ST PETERSBURG,FLORIDA,7273220800,2301 22ND AVE S,ST PETERSBURG,FL ,33712
ACADEMY PREP CENTER OF TAMPA,FLORIDA,8132485600,1407 E COLUMBUS DR,TAMPA,FL ,33605
ACADEMY PRESCHOOL/KINDERGARTEN,NEW JERSEY,9735980885,1176 STATE ROUTE 10,RANDOLPH,NJ ,07869
ACADEMY-NOTRE DAME DE NAMUR,PENNSYLVANIA,6106870650,560 SPROUL RD,VILLANOVA,PA ,19085
ACADIA CHRISTIAN SCHOOL,MAINE,2076640182,171 BAR HARBOR RD,TRENTON,ME ,04605
ACCEL,ARIZONA,6029957366,10251 N 35TH AVE,PHOENIX,AZ ,85051
ACCELERATED SCHOOLS,COLORADO,3037582003,2160 S COOK ST,DENVER,CO ,80210
